id,name,class,studentId,bookingStatus,vaccinationName,vaccinationDate,vaccinationStatus
3050,Kristine Ward,11G,7929,Pending,HPV,2025-05-08,Vaccinated
3051,David Baker,9D,4217,Pending,Influenza,2025-04-01,Vaccinated
3052,Steven Fox,11B,9629,Approved,Typhoid,2025-04-28,Vaccinated
3053,Matthew Miller,11B,3822,Pending,Hepatitis B,2025-04-04,Vaccinated
3054,Jeremy Herrera,8E,7829,Approved,Typhoid,2025-03-30,Not Vaccinated
3055,Alyssa Vargas,12H,1130,Approved,Chickenpox,2025-04-27,Vaccinated
3056,Kelly Fisher,11B,5420,Approved,Chickenpox,2025-03-31,Not Vaccinated
3057,Benjamin Frye,12H,2396,Pending,Covid-19,2025-04-11,Not Vaccinated
3058,Joseph Reed,8E,3404,Pending,Typhoid,2025-04-14,Not Vaccinated
3059,Arthur Wang,12H,7503,Pending,Covid-19,2025-05-18,Not Vaccinated
3060,Lisa Morales,12C,8929,Approved,DPT,2025-05-02,Not Vaccinated
3061,Maria Erickson,12H,2151,Approved,Covid-19,2025-05-15,Vaccinated
3062,Richard Hill,10A,1341,Approved,Flu,2025-04-16,Not Vaccinated
3063,James Hall DDS,12H,9110,Pending,Flu,2025-03-25,Not Vaccinated
3064,Terry Marshall,12H,6964,Approved,MMR,2025-04-05,Not Vaccinated
3065,Vanessa Mitchell,12H,5122,Approved,Covid-19,2025-05-13,Vaccinated
3066,Michael Duncan,12C,1566,,,,
3067,Jordan Davis,11B,1735,,,,
3068,Sean Roy,9D,3135,Approved,DPT,2025-04-12,Vaccinated
3069,Michael Morris,11G,1544,,,,
3070,Denise Johnson,11B,4874,Pending,Flu,2025-05-19,Not Vaccinated
3071,Erik Carroll,12H,2396,Pending,Flu,2025-05-01,Vaccinated
3072,Jacob Perez,11B,2620,Pending,Influenza,2025-04-16,Vaccinated
3073,Heather Wright,10F,5487,Pending,Tetanus,2025-04-19,Vaccinated
3074,Cynthia Long,11B,4906,,,,
3075,Joseph Aguilar,11G,4537,,,,
3076,Joshua Dominguez,12C,1687,,,,
3077,Kristen Thomas,12H,1180,,,,
3078,Kimberly Bautista,11B,2922,,,,
3079,James Lewis,11G,9703,Approved,Tetanus,2025-05-12,Vaccinated
3080,Samantha Brooks,11B,9771,Approved,Chickenpox,2025-04-25,Not Vaccinated
3081,Scott Johnson,10F,2469,,,,
3082,Annette Maxwell,10A,7233,,,,
3083,Jennifer Winters,10F,5316,Pending,HPV,2025-05-16,Vaccinated
3084,Joseph Miller,12H,7786,Pending,Influenza,2025-05-19,Vaccinated
3085,Mario Diaz,9D,2506,Approved,Chickenpox,2025-03-30,Not Vaccinated
3086,George White,12H,2458,Pending,HPV,2025-05-07,Not Vaccinated
3087,David Carrillo,10A,1183,Approved,DPT,2025-05-07,Vaccinated
3088,Kevin Lee,11B,6406,Approved,MMR,2025-05-17,Vaccinated
3089,Tina Harper,9D,9901,Pending,Chickenpox,2025-04-25,Not Vaccinated
3090,Daniel Long,12C,7145,Pending,Polio,2025-04-22,Vaccinated
3091,Deborah Garcia,12H,8657,,,,
3092,Glen Smith,12H,5212,Pending,MMR,2025-04-01,Not Vaccinated
3093,David Lee,11G,5208,Approved,Covid-19,2025-03-29,Not Vaccinated
3094,Kathryn Little,11G,2531,Approved,Flu,2025-04-13,Not Vaccinated
3095,Emily Bishop,10F,8089,,,,
3096,Kelsey Alexander,12H,1020,,,,
3097,Jody Bradley,10A,5850,,,,
3098,Kathy Burton,8E,5784,,,,
3099,Justin Solomon,8E,3356,Approved,Tetanus,2025-05-01,Not Vaccinated
3100,David French,12C,8767,Pending,Typhoid,2025-04-01,Vaccinated
3101,Nicholas Jones,11G,6493,Pending,MMR,2025-04-09,Not Vaccinated
3102,Dana Hill,12H,2584,Pending,Typhoid,2025-04-21,Not Vaccinated
3103,Stephanie Ashley,12C,4333,Approved,HPV,2025-05-13,Not Vaccinated
3104,Stephen Wilson,12H,8139,,,,
3105,Matthew Jackson,12H,3610,Approved,Flu,2025-05-07,Vaccinated
3106,Dillon Drake,11B,4224,Approved,Flu,2025-04-19,Vaccinated
3107,William Lane,11B,6564,Pending,MMR,2025-03-28,Vaccinated
3108,Jessica Garcia,12C,6713,Approved,Covid-19,2025-05-04,Vaccinated
3109,Megan Trujillo,9D,8773,Approved,Tetanus,2025-04-07,Not Vaccinated
3110,Kelly Clark,9D,1142,Approved,Chickenpox,2025-05-02,Vaccinated
3111,Michael Obrien,11G,1823,Pending,DPT,2025-03-24,Not Vaccinated
3112,David Gibson,11G,5261,Approved,HPV,2025-04-08,Not Vaccinated
3113,William Guzman,9D,9233,Approved,Chickenpox,2025-04-30,Vaccinated
3114,Jessica Brooks,11B,7584,,,,
3115,Nina Young,10F,2462,Pending,Chickenpox,2025-03-30,Not Vaccinated
3116,Gina Gibson,10F,2083,Approved,HPV,2025-05-07,Vaccinated
3117,Ronald Martin,9D,1653,Approved,Flu,2025-05-18,Not Vaccinated
3118,Lee Gregory,11B,7077,Approved,Influenza,2025-05-14,Vaccinated
3119,Kenneth Moreno,12C,2864,Approved,Chickenpox,2025-04-24,Not Vaccinated
3120,Mathew Henry,10F,1253,,,,
3121,Logan Davis,8E,1045,Approved,Polio,2025-05-08,Not Vaccinated
3122,Jennifer Reese,11G,6533,Pending,Covid-19,2025-05-20,Not Vaccinated
3123,Thomas Short,12C,5875,,,,
3124,Micheal Salazar,12C,5954,,,,
3125,Dennis Vincent,12H,3521,,,,
3126,Kenneth Monroe,12C,9929,Pending,Polio,2025-05-15,Not Vaccinated
3127,Christopher Johnson,11B,9162,Pending,Tetanus,2025-05-10,Not Vaccinated
3128,Zachary Young,11B,2623,Approved,Covid-19,2025-05-01,Vaccinated
3129,Bethany Torres,8E,1154,Pending,Chickenpox,2025-03-26,Not Vaccinated
3130,Karen Sellers,9D,6288,,,,
3131,Katherine Jones,9D,4052,,,,
3132,Steven Smith,12C,3113,Pending,Hepatitis B,2025-04-28,Not Vaccinated
3133,Brenda White,10A,5907,Pending,Influenza,2025-05-18,Vaccinated
3134,Richard Arnold,9D,4759,Approved,Hepatitis B,2025-04-12,Not Vaccinated
3135,Christine Kelly,10A,2195,,,,
3136,Laura Burnett,9D,2816,Pending,Flu,2025-05-19,Not Vaccinated
3137,Megan Huff,12C,6871,Approved,Polio,2025-04-18,Not Vaccinated
3138,Emily Johnson,11B,1619,,,,
3139,Christopher Murray DDS,11G,4599,,,,
3140,Linda Perez,11G,3765,Approved,Chickenpox,2025-04-05,Vaccinated
3141,Rickey Norris,12C,7141,Pending,Covid-19,2025-05-19,Not Vaccinated
3142,Elizabeth Vazquez,10A,3794,Pending,Typhoid,2025-04-30,Not Vaccinated
3143,Pamela Wagner,11G,4343,Pending,Flu,2025-05-01,Vaccinated
3144,Michelle Perry,11B,9930,Pending,HPV,2025-03-29,Vaccinated
3145,Christopher Williamson,12H,9823,Approved,Hepatitis B,2025-04-28,Vaccinated
3146,Gregory Griffin,11G,1255,Pending,Typhoid,2025-04-12,Vaccinated
3147,Rebecca Giles,10F,2163,,,,
3148,Jeffrey Ferguson,11B,2764,,,,
3149,Thomas Huber,11B,3890,Pending,Chickenpox,2025-05-06,Not Vaccinated
3150,Brandon Vega,12C,5063,,,,
